Estacao	Data	Hora	Precipitacao
82191	09/05/1969	1200	7,6
82191	10/05/1969	1200	0,8
82191	11/05/1969	1200	13,6
82191	12/05/1969	1200	0,6
82191	13/05/1969	1200	5,8
82191	14/05/1969	1200	49
82191	15/05/1969	1200	20
82191	16/05/1969	1200	26
82191	17/05/1969	1200	22,2
82191	18/05/1969	1200	0,2
82191	19/05/1969	1200	19,6
82191	20/05/1969	1200	26,2
82191	21/05/1969	1200	30,8
82191	22/05/1969	1200	1,2
82191	23/05/1969	1200	0,8
82191	24/05/1969	1200	2
82191	25/05/1969	1200	0,2
82191	26/05/1969	1200	17,8
82191	27/05/1969	1200	0
82191	28/05/1969	1200	23
82191	29/05/1969	1200	1,6
82191	30/05/1969	1200	0
82191	31/05/1969	1200	0,2
82191	01/06/1969	1200	36,8
82191	02/06/1969	1200	2,4
82191	03/06/1969	1200	2,4
82191	04/06/1969	1200	0
82191	05/06/1969	1200	6,2
82191	06/06/1969	1200	0
82191	07/06/1969	1200	12,6
82191	08/06/1969	1200	3,2
82191	09/06/1969	1200	1,8
82191	10/06/1969	1200	0,4
82191	11/06/1969	1200	0
82191	12/06/1969	1200	0
82191	13/06/1969	1200	0
82191	14/06/1969	1200	0
82191	15/06/1969	1200	0
82191	16/06/1969	1200	0
82191	17/06/1969	1200	0,5
82191	18/06/1969	1200	0
82191	19/06/1969	1200	0
82191	20/06/1969	1200	0
82191	21/06/1969	1200	1
82191	22/06/1969	1200	0,4
82191	23/06/1969	1200	2,6
82191	24/06/1969	1200	11,4
82191	25/06/1969	1200	2,6
82191	26/06/1969	1200	2
82191	27/06/1969	1200	11
82191	28/06/1969	1200	5,6
82191	29/06/1969	1200	18,5
82191	30/06/1969	1200	0,8
82191	01/07/1969	1200	9,8
82191	02/07/1969	1200	0
82191	03/07/1969	1200	21,4
82191	04/07/1969	1200	30,4
82191	05/07/1969	1200	0,6
82191	06/07/1969	1200	3
82191	07/07/1969	1200	6,1
82191	08/07/1969	1200	0
82191	09/07/1969	1200	0
82191	10/07/1969	1200	26,4
82191	11/07/1969	1200	0
82191	12/07/1969	1200	8,2
82191	13/07/1969	1200	4,6
82191	14/07/1969	1200	1,4
82191	15/07/1969	1200	1,8
82191	16/07/1969	1200	10,2
82191	17/07/1969	1200	2,6
82191	18/07/1969	1200	15,6
82191	19/07/1969	1200	0,4
82191	20/07/1969	1200	6,8
82191	21/07/1969	1200	8,2
82191	22/07/1969	1200	5,6
82191	23/07/1969	1200	0
82191	24/07/1969	1200	0
82191	25/07/1969	1200	1
82191	26/07/1969	1200	16,4
82191	27/07/1969	1200	5
82191	28/07/1969	1200	0
82191	29/07/1969	1200	0
82191	30/07/1969	1200	0
82191	31/07/1969	1200	0,2
82191	01/08/1969	1200	0,8
82191	02/08/1969	1200	3,2
82191	03/08/1969	1200	0,2
82191	04/08/1969	1200	1,6
82191	05/08/1969	1200	4
82191	06/08/1969	1200	16,2
82191	07/08/1969	1200	0
82191	08/08/1969	1200	1,2
82191	09/08/1969	1200	0
82191	10/08/1969	1200	13,2
82191	11/08/1969	1200	80,4
82191	12/08/1969	1200	0,8
82191	13/08/1969	1200	5,6
82191	14/08/1969	1200	7
82191	15/08/1969	1200	16,6
82191	16/08/1969	1200	0
82191	17/08/1969	1200	0
82191	18/08/1969	1200	0
82191	19/08/1969	1200	0
82191	20/08/1969	1200	0
82191	21/08/1969	1200	0
82191	22/08/1969	1200	0
82191	23/08/1969	1200	0,4
82191	24/08/1969	1200	0
82191	25/08/1969	1200	0
82191	26/08/1969	1200	2,6
82191	27/08/1969	1200	0
82191	28/08/1969	1200	20,6
82191	29/08/1969	1200	1,6
82191	30/08/1969	1200	0,4
82191	31/08/1969	1200	0,4
